weight,age,height,size
55,32,154.94,S
55,50,165.1,S
47,43,157.48,S
52,30,170.18,S
49,24,167.64,S
63,25,167.64,S
50,27,170.18,S
58,36,165.1,S
56,22,157.48,S
59,35,175.26,S
53,33,162.56,S
58,33,162.56,S
54,34,160.02,S
49,17,167.64,S
50,21,152.18,S
55,26,170.18,S
54,29,157.48,S
61,33,165.1,S
56,30,172.72,S
53,42,167.64,S
54,41,162.56,S
52,42,165.1,S
53,32,170.18,S
58,28,157.48,S
54,29,165.1,S
54,33,154.94,S
56,26,165.1,S
54,26,167.64,M
52,28,160.02,M
63,27,172.72,M
63,30,167.64,M
55,37,160.02,M
50,43,160.02,M
54,47,165.1,M
61,27,165.1,M
58,29,172.72,M
49,16,155.48,M
52,45,154.94,M
61,28,162.56,M
56,32,157.48,M
56,36,175.26,M
49,30,162.56,M
63,28,172.72,M
49,40,157.48,M
43,16,162.11,M
61,30,172.72,M
54,31,162.56,M
57,37,157.48,M
58,24,170.18,M
63,53,167.64,M
62,30,177.8,M
61,31,170.18,M
63,18,164.67,M
53,29,160.02,M
61,33,165.1,L
63,30,167.64,L
65,27,172.72,L
65,34,170.18,L
65,34,170.18,L
61,34,172.72,L
65,21,165.1,L
65,33,162.97,L
58,29,162.56,L
72,28,162.56,L
68,28,167.64,L
65,36,167.64,L
63,33,167.64,L
56,32,162.56,L
65,33,167.64,L
58,29,162.56,L
65,47,170.18,L
63,23,162.56,L
70,26,154.94,L
62,29,163.56,L
32,39,160.02,L
65,33,167.64,L
65,29,172.72,L
65,32,172.72,L
66,41,170.18,L
58,53,160.02,L
56,33,170.18,L
58,31,154.94,XL
68,36,162.56,XL
61,33,167.64,XL
58,33,157.48,XL
65,29,165.1,XL
60,27,167.64,XL
70,32,175.26,XL
63,36,157.48,XL
68,42,165.1,XL
74,31,170.18,XL
77,30,167.64,XL
61,30,170.18,XL
65,27,167.64,XL
63,27,162.56,XL
58,23,180.34,XL
71,23,170.18,XL
63,30,165.1,XL
63,33,157.01,XL
68,42,167.64,XL
65,29,180.34,XL
68,29,162.56,XL
63,31,172.72,XL
63,39,175.26,XL
70,34,170.18,XL
68,46,162.56,XL
65,34,177.8,XL
65,53,162.56,XL
58,27,157.48,XXL
72,29,160.02,XXL
65,34,160.02,XXL
65,36,157.78,XXL
68,28,162.56,XXL
70,34,165.10,XXL
58,29,154.94,XXL
63,29,154.94,XXL
63,31,157.48,XXL
65,30,157.48,XXL
66,37,160.02,XXL
58,44,154.94,XXL
53,37,160.02,XXL
70,30,157.48,XXL
61,30,157.48,XXL
61,60,162.56,XXL
63,27,157.48,XXL
67,37,157.48,XXL
84,49,184.40,XXL
79,39,179.88,XXL
78,39,177.48,XXL
66,31,152.40,XXL
89,31,190.48,XXL
58,33,154.94,XXL
63,33,157.48,XXL
94,28,188.02,XXL
77,27,157.48,XXL
