weight,age,height,size
59,36,167.64,L
65,27,175.26,L
64,26,165.1,L
65,33,165.1,L
63,30,167.64,L
65,27,172.72,L
65,27,170.18,L
65,34,170.18,L
61,34,172.72,L
58,32,165.1,L
65,33,165.1,L
58,29,162.56,L
72,28,162.56,L
68,28,167.64,L
65,36,167.64,L
63,33,167.64,L
56,32,162.56,L
65,33,167.64,L
58,29,162.56,L
65,47,170.18,L
63,23,162.56,L
70,26,154.94,L
62,29,162.56,L
59,39,160.02,L
65,33,167.64,L
65,29,172.72,L
65,32,172.72,L
66,41,170.18,L
58,53,160.02,L
56,33,170.18,L
58,38,167.64,L
72,30,177.8,L
58,46,167.64,L
64,41,162.56,L
65,38,160.02,L
50,52,160.02,L
58,33,160.02,L
65,26,172.72,L
58,31,157.48,L
65,26,175.26,L
55,41,157.48,L
79,27,177.8,L
61,37,160.02,L
66,49,162.56,L
58,50,162.56,L
61,33,162.56,L
64,34,175.26,L
77,34,162.56,L
61,51,167.64,L
65,28,165.1,L
61,34,165.1,M
62,45,172.72,M
53,65,160.02,M
54,26,167.64,M
52,28,160.02,M
63,27,172.72,M
63,30,167.64,M
55,37,160.02,M
50,43,160.02,M
54,47,165.1,M
61,27,165.1,M
58,29,172.72,M
54,40,157.48,M
52,45,154.94,M
61,28,162.56,M
56,32,157.48,M
56,36,175.26,M
49,30,162.56,M
63,28,172.72,M
49,40,157.48,M
56,32,165.1,M
61,30,172.72,M
54,31,162.56,M
57,37,157.48,M
58,24,170.18,M
63,53,167.64,M
62,30,177.8,M
61,31,170.18,M
63,31,175.26,M
53,29,160.02,M
63,34,172.72,M
56,28,165.1,M
63,37,172.72,M
58,29,157.48,M
62,30,157.48,M
62,24,175.26,M
59,31,162.56,M
58,33,160.02,M
58,31,157.48,M
58,36,175.26,M
54,37,152.4,M
56,33,162.56,M
56,52,162.56,M
54,23,162.56,M
58,29,167.64,M
58,30,167.64,M
61,32,162.56,M
50,52,160.02,M
62,52,162.56,M
63,32,172.72,M
50,27,160.02,S
53,32,165.1,S
54,20,167.64,S
55,32,154.94,S
55,50,165.1,S
47,43,157.48,S
52,30,170.18,S
49,24,167.64,S
63,25,167.64,S
50,27,170.18,S
58,36,165.1,S
56,22,157.48,S
59,35,175.26,S
53,33,162.56,S
58,33,162.56,S
54,34,160.02,S
49,17,167.64,S
54,36,170.18,S
55,26,170.18,S
54,29,157.48,S
61,33,165.1,S
56,30,172.72,S
53,42,167.64,S
54,41,162.56,S
52,42,165.1,S
53,32,170.18,S
58,28,157.48,S
54,29,165.1,S
54,33,154.94,S
58,35,175.26,S
56,23,175.26,S
61,31,175.26,S
53,28,152.4,S
52,31,157.48,S
58,32,160.02,S
53,32,165.1,S
50,28,165.1,S
54,27,157.48,S
54,34,165.1,S
58,30,170.18,S
56,38,170.18,S
49,39,157.48,S
54,51,167.64,S
52,22,154.94,S
56,32,167.64,S
55,38,162.56,S
54,34,165.1,S
52,30,165.1,S
54,32,165.1,S
58,33,167.64,S
62,28,172.72,XL
74,29,177.8,XL
64,32,160.02,XL
58,31,154.94,XL
68,36,162.56,XL
61,33,167.64,XL
58,33,157.48,XL
65,29,165.1,XL
60,27,167.64,XL
70,32,175.26,XL
63,36,157.48,XL
68,42,165.1,XL
74,31,170.18,XL
77,30,167.64,XL
61,30,170.18,XL
65,27,167.64,XL
63,27,162.56,XL
58,23,180.34,XL
71,23,170.18,XL
63,30,165.1,XL
63,33,157.48,XL
68,42,167.64,XL
65,29,180.34,XL
68,29,162.56,XL
63,31,172.72,XL
63,39,175.26,XL
70,34,170.18,XL
68,46,162.56,XL
65,34,177.8,XL
65,53,162.56,XL
68,37,170.18,XL
61,47,160.02,XL
58,35,167.64,XL
61,45,162.56,XL
68,30,167.64,XL
69,31,172.72,XL
72,36,175.26,XL
60,35,170.18,XL
68,49,180.34,XL
70,34,160.02,XL
72,40,175.26,XL
68,29,160.02,XL
59,37,154.94,XL
63,33,165.1,XL
53,37,170.18,XL
65,29,162.56,XL
58,25,167.64,XL
65,29,170.18,XL
65,40,177.8,XL
64,32,175.26,XL
68,28,157.48,XXL
61,47,157.48,XXL
62,42,154.94,XXL
58,27,157.48,XXL
72,29,160.02,XXL
65,34,160.02,XXL
65,36,157.48,XXL
68,28,162.56,XXL
70,34,165.1,XXL
58,29,154.94,XXL
63,29,154.94,XXL
63,31,157.48,XXL
65,30,157.48,XXL
66,37,160.02,XXL
58,44,154.94,XXL
53,37,160.02,XXL
70,30,157.48,XXL
61,30,157.48,XXL
61,60,162.56,XXL
63,27,157.48,XXL
67,37,157.48,XXL
68,49,152.4,XXL
68,43,162.56,XXL
70,39,157.48,XXL
66,31,152.4,XXL
61,31,157.48,XXL
58,33,154.94,XXL
63,33,157.48,XXL
68,28,160.02,XXL
77,27,157.48,XXL
77,29,167.64,XXL
63,54,157.48,XXL
68,26,157.48,XXL
57,54,154.94,XXL
70,29,162.56,XXL
70,25,160.02,XXL
68,47,165.1,XXL
68,40,162.56,XXL
63,28,160.02,XXL
63,37,152.4,XXL
70,60,180.34,XXL
79,38,157.48,XXL
77,41,185.42,XXL
70,38,162.56,XXL
68,45,160.02,XXL
65,19,167.64,XXL
72,48,157.48,XXL
66,33,162.56,XXL
65,31,180.34,XXL
64,29,152.4,XXL
